id,topic,text,label,essay_id
53.0,The role of cinema in social change,"The exploration of The role of cinema in social change has become a cornerstone of contemporary academic discourse. Advancements in technology have drastically altered the landscape of The role of cinema in social change. While some argue that The role of cinema in social change brings unprecedented benefits, others remain cautious of its long-term effects. This duality makes The role of cinema in social change one of the most debated subjects of our time. As we look ahead, the lessons learned from The role of cinema in social change will be vital for sustainable global development.",ai,53
,Native Professional/Academic Essay,"March 2006, rev August 2009 A couple days ago I found to my surprise that I'd been granted a [patent](http://patft.uspto.gov/netacgi/nph- Parser?Sect1=PTO1&Sect2=HITOFF&d=PALL&p=1&u=%2Fnetahtml%2FPTO%2Fsrchnum.htm&r=1&f=G&l=50&s1=6,631,372.PN.&OS=PN/6,631,372&RS=PN/6,631,372). It issued in 2003, but no one told me. I wouldn't know about it now except that a few months ago, while visiting Yahoo, I happened to run into a Big Cheese I knew from working there in the late nineties. He brought up something called Revenue Loop, which Viaweb had been working on when they bought us. The idea is basically that you sort search results not in order of textual ""relevance"" (as search engines did then) nor in order of how much advertisers bid (as Overture did) but in order of the bid times the number of transactions. Ordinarily you'd do this for shopping searches, though in fact one of the features of our scheme is that it automatically detects which searches are shopping searches. If you just order the results in order of bids, you can make the search results useless, because the first results could be dominated by lame sites that had bid the most. But if you order results by bid multiplied by transactions, far from selling out, you're getting a _better_ measure of relevance. What could be a better sign that someone was satisfied with a search result than going to the site and buying something? And, of course, this algorithm automatically maximizes the revenue of the search engine. Everyone is focused on this type of approach now, but few were in 1998\.",native,275
,Native Professional/Academic Essay,"December 2020 Jessica and I have certain words that have special significance when we're talking about startups. The highest compliment we can pay to founders is to describe them as ""earnest."" This is not by itself a guarantee of success. You could be earnest but incapable. But when founders are both formidable (another of our words) and earnest, they're as close to unstoppable as you get. Earnestness sounds like a boring, even Victorian virtue. It seems a bit of an anachronism that people in Silicon Valley would care about it. Why does this matter so much? When you call someone earnest, you're making a statement about their motives. It means both that they're doing something for the right reasons, and that they're trying as hard as they can. If we imagine motives as vectors, it means both the direction and the magnitude are right. Though these are of course related: when people are doing something for the right reasons, they try harder. [1] The reason motives matter so much in Silicon Valley is that so many people there have the wrong ones. Starting a successful startup makes you rich and famous. So a lot of the people trying to start them are doing it for those reasons. Instead of what? Instead of interest in the problem for its own sake. That is the root of earnestness. [2] It's also the hallmark of a nerd. Indeed, when people describe themselves as ""x nerds,"" what they mean is that they're interested in",native,272
,Learner Corpus (Non-Native),"Notwithstanding the fact that plastic is a great source of revenue for some countries who could wrap their ways around it, plastic bags should be banned and replaced with new forms of packaging. UGCD-15 Plastic bags have been useful in our communities and marketplaces for decades. It has provided easy and cheaper means to handle purchased goods from the marketplaces, malls and even our restaurants. But at the same time threatens our vegetation, marine lives, birds and our environment specifically, our drainages. Plastic bags should be banned for various reasons. The reasons span between; pollution attraction; wildlife threatened; food poison; groundwater pollution; accumulated garbage; and associated cost. Although plastic bags have multi- facetted purposes, it will serve us well if they are banned and substituted for alternatives, because they coherently pose pollution to the world. These products contain chemicals such as bisphenols, and flame retardation which relatively assist in their rigidity and flexibility respectively.",non-native,145
16.0,The role of the United Nations in global conflicts,"To understand the current state of our world, one must examine the nuances of The role of the United Nations in global conflicts. Advancements in technology have drastically altered the landscape of The role of the United Nations in global conflicts. While some argue that The role of the United Nations in global conflicts brings unprecedented benefits, others remain cautious of its long-term effects. This duality makes The role of the United Nations in global conflicts one of the most debated subjects of our time. In conclusion, The role of the United Nations in global conflicts will continue to shape our future in ways we are only beginning to understand.",ai,16
,Learner Corpus (Non-Native),"Pets and ruminants may also consume these plastics or get entangled in them as a result of their exposure. Research reveals that more than half of global plastic waste is dumped into the ocean to the extent that large kilometres of the oceans are covered with filth of plastic waste. This has made the water toxic for aquatic life and food poisoning in the long run. To save the ocean and aquatic life, there is the need for a ban on the production of plastic materials. This will go a long way to increase available seafood to supplement the growing population. In addition, plastic bags are to be banned because they are very toxic to human health. Irritating eyes, skin diseases, lung problems, cardiovascular defects and cancer are some illnesses caused by toxic plastic materials. Fishes consuming these plastics eventually end up in our food chain. Also, the production of plastic bags also involves the use of polymers and petrochemicals which release harmful gases into our atmosphere.",non-native,183
,Learner Corpus (Non-Native),"First and foremost, plastic bags must be banned because it poses danger to wildlife, many times marine animals mistake plastic bags as jellyfish which leads in consuming the plastic bags rather, once the plastic bag is eaten, it will not be able to digest and will end up harming the animal by lodging in the gut. When it rains the rain water washes the plastic bags on the land into our water bodies. They suffocate the fishes which may lead to death or retard growth of the living things in the water bodies. Following, pollution is another drawback why plastic bags should be banned. Pollution is the introduction of harmful contaminants into the environment that cause unfavourable change. Plastic bags pollute the land, air and our water bodies, because plastic are not biodegradable, they tend to last forever without decaying when disposed of, due to the fact that plastic bags do not decompose user tend to burn them and in these case, it releases toxic and harmful chemicals into the atmosphere which causes respiratory diseases such as lung cancer and asthma.",non-native,173
,Native Professional/Academic Essay,"November 2008 One of the differences between big companies and startups is that big companies tend to have developed procedures to protect themselves against mistakes. A startup walks like a toddler, bashing into things and falling over all the time. A big company is more deliberate. The gradual accumulation of checks in an organization is a kind of learning, based on disasters that have happened to it or others like it. After giving a contract to a supplier who goes bankrupt and fails to deliver, for example, a company might require all suppliers to prove they're solvent before submitting bids. As companies grow they invariably get more such checks, either in response to disasters they've suffered, or (probably more often) by hiring people from bigger companies who bring with them customs for protecting against new types of disasters. It's natural for organizations to learn from mistakes. The problem is, people who propose new checks almost never consider that the check itself has a cost. _Every check has a cost._ For example, consider the case of making suppliers verify their solvency. Surely that's mere prudence? But in fact it could have substantial costs. There's obviously the direct cost in time of the people on both sides who supply and check proofs of the supplier's solvency. But the real costs are the ones you never hear about: the company that would be the best supplier, but doesn't bid because they can't spare the effort to get verified. Or the company that would",native,293
5.0,The role of artificial intelligence in modern warfare,"To understand the current state of our world, one must examine the nuances of The role of artificial intelligence in modern warfare. Historically, The role of artificial intelligence in modern warfare has been influenced by a variety of social and economic factors. Observers note that the integration of The role of artificial intelligence in modern warfare into daily life has changed how we perceive progress. Furthermore, the ethical considerations of The role of artificial intelligence in modern warfare cannot be ignored in the pursuit of innovation. As we look ahead, the lessons learned from The role of artificial intelligence in modern warfare will be vital for sustainable global development.",ai,5
,Learner Corpus (Non-Native),"The reasons raised so far expose the negative effects posed by the bags, so we go for banning else we will one day be engulfed by the rubber plastic pandemic. Nobody in the world want to see another pandemic again. UGCD-16 In recent times, the rate at which the land, water bodies and the environment as a whole gets polluted is very alarming and there is no doubt that plastic bags constitute a greater part of these pollutants. Plastic bags are containers that have been made in order to help with the transportation and packing of purchased goods. These plastic bags are very cheap and are widely used across the country. They form part of our day to day life and give nice packages to our purchased goods. Although plastic bags have advantages, their disadvantages cannot be overlooked. To begin, plastic bags helps humans in their trading activities. Due to the light weight of plastic bags, they are easily transported and distributed. Author (professor.smith@college.org), date of birth 02/14/2002, certifies originality.",non-native,148
,Learner Corpus (Non-Native),"Plastic bags, while representing one of the most economical and convenient methods for packaging, carrying, and transporting various goods such as food and clothing, and occupying less space than alternatives like paper bags, are ubiquitous in modern life. However, the public often remains largely unaware of the myriad environmental and societal problems they pose. This essay argues that plastic bags ought to be banned due to their significant contributions to",non-native,101
,Native Professional/Academic Essay,"**Want to start a startup?** Get funded by [Y Combinator](http://ycombinator.com/apply.html). September 2010 The reason startups have been using [more convertible notes](http://twitter.com/paulg/status/22319113993) in angel rounds is that they make deals close faster. By making it easier for startups to give different prices to different investors, they help them break the sort of deadlock that happens when investors all wait to see who else is going to invest. By far the biggest influence on investors' opinions of a startup is the opinion of other investors. There are very, very few who simply decide for themselves. Any startup founder can tell you the most common question they hear from investors is not about the founders or the product, but ""who else is investing?"" That tends to produce deadlocks. Raising an old-fashioned fixed-size equity round can take weeks, because all the angels sit around waiting for the others to commit, like competitors in a bicycle sprint who deliberately ride slowly at the start so they can follow whoever breaks first. Convertible notes let startups beat such deadlocks by rewarding investors willing to move first with lower (effective) valuations. Which they deserve because they're taking more risk. It's much safer to invest in a startup Ron Conway has already invested in; someone who comes after him should pay a higher price. The reason convertible notes allow more flexibility in price is that valuation caps aren't actual valuations, and notes are cheap and easy to do. So you can do high-resolution fundraising: if you wanted you",native,261
,Learner Corpus (Non-Native),"Also, plastic bags need to be banned because they are a major source of waste in our society. Plastic bags form approximately forty five percent of our total plastic waste, and has proven to be one major cause of littering in our society. This causes environmental pollution and can lead to the occurrence of natural disasters such as floods, since plastic bags are light weighted and are easily carried away by the wind into our gutters and sewage channels, choking them and preventing smooth flow of water. Another reason why plastic bags should be banned is because of its negative effects on the lives of marine and land animals. Most animals dwelling in the sea and other waterbodies are being endangered due to the presence of plastic bags in their habitats. These animals consume plastic bags that sink to the bottom of the sea, thinking they are food. turtles, crocodiles and fishes are victims of these situations.",non-native,122
60.0,The impact of tourism on historical sites,"The exploration of The impact of tourism on historical sites has become a cornerstone of contemporary academic discourse. Historically, The impact of tourism on historical sites has been influenced by a variety of social and economic factors. Observers note that the integration of The impact of tourism on historical sites into daily life has changed how we perceive progress. Furthermore, the ethical considerations of The impact of tourism on historical sites cannot be ignored in the pursuit of innovation. Ultimately, the evolution of The impact of tourism on historical sites serves as a testament to human ingenuity and the constant drive for improvement.",ai,60
96.0,Impact of deforestation on indigenous tribes,"In recent years, the discussion surrounding Impact of deforestation on indigenous tribes has gained significant momentum. Advancements in technology have drastically altered the landscape of Impact of deforestation on indigenous tribes. While some argue that Impact of deforestation on indigenous tribes brings unprecedented benefits, others remain cautious of its long-term effects. This duality makes Impact of deforestation on indigenous tribes one of the most debated subjects of our time. As we look ahead, the lessons learned from Impact of deforestation on indigenous tribes will be vital for sustainable global development.",ai,96
,Native Professional/Academic Essay,"**Want to start a startup?** Get funded by [Y Combinator](http://ycombinator.com/apply.html). August 2010 Two years ago I [wrote](http://www.paulgraham.com/googles.html#next) about what I called ""a huge, unexploited opportunity in startup funding:"" the growing disconnect between VCs, whose current business model requires them to invest large amounts, and a large class of startups that need less than they used to. Increasingly, startups want a couple hundred thousand dollars, not a couple million. [1] The opportunity is a lot less unexploited now. Investors have poured into this territory from both directions. VCs are much more likely to make angel-sized investments than they were a year ago. And meanwhile the past year has seen a dramatic increase in a new type of investor: the super-angel, who operates like an angel, but using other people's money, like a VC. Though a lot of investors are entering this territory, there is still room for more. The distribution of investors should mirror the distribution of startups, which has the usual power law dropoff. So there should be a lot more people investing tens or hundreds of thousands than millions. [2] In fact, it may be good for angels that there are more people doing angel- sized deals, because if angel rounds become more legitimate, then startups may start to opt for angel rounds even when they could, if they wanted, raise series A rounds from VCs. One reason startups prefer series A rounds is that they're more prestigious. But if angel investors become more active and better known, they'll",native,274
,Native Professional/Academic Essay,"**Want to start a startup?** Get funded by [Y Combinator](http://ycombinator.com/apply.html). August 2007 _(This is a talk I gave at the last Y Combinator dinner of the summer. Usually we don't have a speaker at the last dinner; it's more of a party. But it seemed worth spoiling the atmosphere if I could save some of the startups from preventable deaths. So at the last minute I cooked up this rather grim talk. I didn't mean this as an essay; I wrote it down because I only had two hours before dinner and think fastest while writing.)_ A couple days ago I told a reporter that we expected about a third of the companies we funded to succeed. Actually I was being conservative. I'm hoping it might be as much as a half. Wouldn't it be amazing if we could achieve a 50% success rate? Another way of saying that is that half of you are going to die. Phrased that way, it doesn't sound good at all. In fact, it's kind of weird when you think about it, because our definition of success is that the founders get rich. If half the startups we fund succeed, then half of you are going to get rich and the other half are going to get nothing. If you can just avoid dying, you get rich. That sounds like a joke, but it's actually a pretty good description of what happens in a typical startup. It certainly describes what happened in Viaweb. We",native,206
57.0,The role of renewable energy in energy security,"In recent years, the discussion surrounding The role of renewable energy in energy security has gained significant momentum. Advancements in technology have drastically altered the landscape of The role of renewable energy in energy security. While some argue that The role of renewable energy in energy security brings unprecedented benefits, others remain cautious of its long-term effects. This duality makes The role of renewable energy in energy security one of the most debated subjects of our time. Ultimately, the evolution of The role of renewable energy in energy security serves as a testament to human ingenuity and the constant drive for improvement.",ai,57
,Native Professional/Academic Essay,"September 2001 _(This article explains why much of the next generation of software may be server-based, what that will mean for programmers, and why this new kind of software is a great opportunity for startups. It's derived from a talk at BBN Labs.)_ In the summer of 1995, my friend Robert Morris and I decided to start a startup. The PR campaign leading up to Netscape's IPO was running full blast then, and there was a lot of talk in the press about online commerce. At the time there might have been thirty actual stores on the Web, all made by hand. If there were going to be a lot of online stores, there would need to be software for making them, so we decided to write some. For the first week or so we intended to make this an ordinary desktop application. Then one day we had the idea of making the software run on our Web server, using the browser as an interface. We tried rewriting the software to work over the Web, and it was clear that this was the way to go. If we wrote our software to run on the server, it would be a lot easier for the users and for us as well. This turned out to be a good plan. Now, as [Yahoo Store](http://store.yahoo.com), this software is the most popular online store builder, with about 14,000 users. When we started Viaweb, hardly anyone understood what we meant when we said that the",native,217
,Learner Corpus (Non-Native),"Despite the numerous important uses of plastic bags, the environmental threats they pose cannot be overlooked. Plastic bags have been recognized as one of the primary causes of environmental degradation in recent years, largely due to their pervasive abundance. The three principal harms inflicted by plastic bags upon the environment include the endangerment of lives, environmental pollution, and soil contamination. Specifically, one significant harm caused by plastic bags is the endangerment of both human and animal lives. According to a research study by the United Nations (UN), plastic annually kills over 1.1 million seabirds and marine animals, including whales, dolphins, turtles, and penguins. Furthermore, it is estimated that more than 90 percent of all birds and fish have ingested plastic particles. Compounding this issue, even after the death and decomposition of these animals, the ingested plastic particles remain intact. Consequently, other animals may ingest these persistent particles, leading to further fatalities, given that plastics decompose over an extremely protracted period.",non-native,109
4.0,Benefits of mandatory military service,"The exploration of Benefits of mandatory military service has become a cornerstone of contemporary academic discourse. Historically, Benefits of mandatory military service has been influenced by a variety of social and economic factors. Observers note that the integration of Benefits of mandatory military service into daily life has changed how we perceive progress. Furthermore, the ethical considerations of Benefits of mandatory military service cannot be ignored in the pursuit of innovation. In conclusion, Benefits of mandatory military service will continue to shape our future in ways we are only beginning to understand.",ai,4
67.0,Impact of microplastics on human health,"To understand the current state of our world, one must examine the nuances of Impact of microplastics on human health. Advancements in technology have drastically altered the landscape of Impact of microplastics on human health. While some argue that Impact of microplastics on human health brings unprecedented benefits, others remain cautious of its long-term effects. This duality makes Impact of microplastics on human health one of the most debated subjects of our time. Ultimately, the evolution of Impact of microplastics on human health serves as a testament to human ingenuity and the constant drive for improvement.",ai,67
,Native Professional/Academic Essay,"October 2007 After the last [talk](webstartups.html) I gave, one of the organizers got up on the stage to deliver an impromptu rebuttal. That never happened before. I only heard the first few sentences, but that was enough to tell what I said that upset him: that startups would do better if they moved to Silicon Valley. This conference was in London, and most of the audience seemed to be from the UK. So saying startups should move to Silicon Valley seemed like a nationalistic remark: an obnoxious American telling them that if they wanted to do things right they should all just move to America. Actually I'm less American than I seem. I didn't say so, but I'm British by birth. And just as Jews are ex officio allowed to tell Jewish jokes, I don't feel like I have to bother being diplomatic with a British audience. The idea that startups would do better to move to Silicon Valley is not even a nationalistic one. [1] It's the same thing I say to startups in the US. Y Combinator alternates between coasts every 6 months. Every other funding cycle is in Boston. And even though Boston is the second biggest startup hub in the US (and the world), we tell the startups from those cycles that their best bet is to move to Silicon Valley. If that's true of Boston, it's even more true of every other city. This is about cities, not countries. And I think I can prove This essay was submitted by the author, reachable at deva.harshini@gmail.com.",native,215
,Learner Corpus (Non-Native),"It’s only when people really understand as to how plastic ends up creating damage to the environment which may jeopardize their life or those of the future generation, they may be inclined to do their bit and follow he ban on plastic bags seriously. To conclude, plastic bags are non – biodegradable which means that they do not decompose easily. This makes their disposal a huge challenge. Burning them does not help as it releases poisonous gases into the atmosphere. For this reason, plastic bags should be banned because, it poses a threat to both human and animal lives and has an adverse effect on our soil and water bodies. UGCD-18 Bags come in different forms, sizes and colours. They are used in the packaging of food and transporting groceries. The commonest form is the plastic bag also known as poly bag. Most plastic bags are made from polyethylene. The use of plastic bags were introduced in supermarkets in 197.",non-native,153
,Native Professional/Academic Essay,"November 2004 _(This is a new essay for the Japanese edition of[Hackers & Painters](http://www.amazon.com/exec/obidos/tg/detail/-/0596006624). It tries to explain why Americans make some things well and others badly.)_ A few years ago an Italian friend of mine travelled by train from Boston to Providence. She had only been in America for a couple weeks and hadn't seen much of the country yet. She arrived looking astonished. ""It's so _ugly!""_ People from other rich countries can scarcely imagine the squalor of the man- made bits of America. In travel books they show you mostly natural environments: the Grand Canyon, whitewater rafting, horses in a field. If you see pictures with man-made things in them, it will be either a view of the New York skyline shot from a discreet distance, or a carefully cropped image of a seacoast town in Maine. How can it be, visitors must wonder. How can the richest country in the world look like this? Oddly enough, it may not be a coincidence. Americans are good at some things and bad at others. We're good at making movies and software, and bad at making cars and cities. And I think we may be good at what we're good at for the same reason we're bad at what we're bad at. We're impatient. In America, if you want to do something, you don't worry that it might come out badly, or upset delicate social balances, or that people might think you're getting above yourself. If you want to do",native,214
,Learner Corpus (Non-Native),"This causes our beaches to be unclean and also renders our water bodies harmful for consumption. Due to this, plastic bags should be banned. Also, there are some external cost that are linked to these plastic bags, one of which could be production cost. Even though plastic bags are mostly given out for free when one purchases an item, there is a huge cost associated with its production. The raw materials or resources needed for its production could be very scarce and limited making the demand exceed supply thus affecting the price negatively. Moreover, it is difficult and expensive to remove plastic bags from our surroundings. Expensive in the sense that it really cost to hire people to undertake cleanup exercises. For this reason, plastic bags should be banned. In conclusion, plastic bag usage has become an imminent catastrophe which needs immediate attention. It is high time that we realize the importance of our environment and avoid things that can degrade it and cause our health status to depreciate.",non-native,168
,Learner Corpus (Non-Native),"Moreover, plastic bags significantly impede plant growth. Numerous plants that once thrived naturally are now perishing due to the pervasive presence of plastic bags in the soil. Consequently, organisms such as mushrooms and snails are no longer prevalent in these areas. Furthermore, plastic contamination tends to destroy beneficial soil-dwelling organisms, including worms, ants, and other insects, which are crucial for soil enrichment. Their demise subsequently",non-native,119
,Learner Corpus (Non-Native),"A study on environmental pollution indicates that the average person ingests approximately 70,000 microplastic particles annually through food, posing a significant threat to human health. A second major detrimental effect of plastic bags is their pervasive contribution to environmental pollution. The entire lifecycle of plastic bags, from manufacturing to disposal, poses significant environmental toxicity. Research indicates that a single plastic bag can take between",non-native,110
,Native Professional/Academic Essay,"July 2023 If you collected lists of techniques for doing great work in a lot of different fields, what would the intersection look like? I decided to find out by making it. Partly my goal was to create a guide that could be used by someone working in any field. But I was also curious about the shape of the intersection. And one thing this exercise shows is that it does have a definite shape; it's not just a point labelled ""work hard."" The following recipe assumes you're very ambitious. The first step is to decide what to work on. The work you choose needs to have three qualities: it has to be something you have a natural aptitude for, that you have a deep interest in, and that offers scope to do great work. In practice you don't have to worry much about the third criterion. Ambitious people are if anything already too conservative about it. So all you need to do is find something you have an aptitude for and great interest in. [1] That sounds straightforward, but it's often quite difficult. When you're young you don't know what you're good at or what different kinds of work are like. Some kinds of work you end up doing may not even exist yet. So while some people know what they want to do at 14, most have to figure it out. The way to figure out what to work on is by working. If you're not sure what",native,210
79.0,The future of hydro-power energy,"The exploration of The future of hydro-power energy has become a cornerstone of contemporary academic discourse. Historically, The future of hydro-power energy has been influenced by a variety of social and economic factors. Observers note that the integration of The future of hydro-power energy into daily life has changed how we perceive progress. Furthermore, the ethical considerations of The future of hydro-power energy cannot be ignored in the pursuit of innovation. In conclusion, The future of hydro-power energy will continue to shape our future in ways we are only beginning to understand.",ai,79
,Learner Corpus (Non-Native),"Although plastic bags are harmful, they have benefits such as easy packaging and transportation of goods. Plastic bags should still be banned because they put the lives of these animals in danger. In conclusion, plastic bags should be banned because they are harmful to the health of man and society, they are a major source of waste, and they also put the lives of animals in danger. Plastic bags must be banned to prevent all these problems, and even if they are still in use, they should be properly disposed of to help create a cleaner and safer society. UGCD-8 As much as there are many countries that have banned the use of plastic bags, many organisations are against this idea because is very durable. But the question is because of it durability do we sit back and watch as we suffer it consequences certainly not. In this country , our major problem with plastic bags is how it is disposed. This assignment is submitted under student registration number S20230055500.",non-native,123
,Native Professional/Academic Essay,"July 2020 ""Few people are capable of expressing with equanimity opinions which differ from the prejudices of their social environment. Most people are even incapable of forming such opinions."" � Einstein There has been a lot of talk about privilege lately. Although the concept is overused, there is something to it, and in particular to the idea that privilege makes you blind � that you can't see things that are visible to someone whose life is very different from yours. But one of the most pervasive examples of this kind of blindness is one that I haven't seen mentioned explicitly. I'm going to call it _orthodox privilege_ : The more conventional-minded someone is, the more it seems to them that it's safe for everyone to express their opinions. It's safe for _them_ to express their opinions, because the source of their opinions is whatever it's currently acceptable to believe. So it seems to them that it must be safe for everyone. They literally can't imagine a true statement that would get you in trouble. And yet at every point in history, there [_were_](say.html) true things that would get you in trouble to say. Is ours the first where this isn't so? What an amazing coincidence that would be. Surely it should at least be the default assumption that our time is not unique, and that there are true things you can't say now, just as there have always been. You would think. But even in the face of such overwhelming The participant, born on 02/14/2002, provided consent for this study.",native,238
,Learner Corpus (Non-Native),"Three of the reasons why plastic bags should be banned are plastics bags are not biodegrade, affect human health and contribute to climate change. First of all, the main reason why plastic bags should be banned is because it cannot biodegrade. Plastics bags are non-biodegradable. They can last for many years. It does not decompose but break down into pieces and leach into the soil. The harmful chemicals in plastic bags leach and contaminate the underground water and destroy plants which serves as a source of food. Also, it litters the environment and does not make the environment a save place to live in. Hence, large amount of money need to be spent to control rate of plastic bags in the environment. Secondly, plastic bags affects human health is another reason it should be banned. Compounds such as Bisphenol-A used in the manufacturing of plastic bags release harmful chemicals into the atmosphere.",non-native,176
,Native Professional/Academic Essay,"April 2016 _(This is a talk I gave at an event called Opt412 in Pittsburgh. Much of it will apply to other towns. But not all, because as I say in the talk, Pittsburgh has some important advantages over most would-be startup hubs.)_ What would it take to make Pittsburgh into a startup hub, like Silicon Valley? I understand Pittsburgh pretty well, because I grew up here, in Monroeville. And I understand Silicon Valley pretty well because that's where I live now. Could you get that kind of startup ecosystem going here? When I agreed to speak here, I didn't think I'd be able to give a very optimistic talk. I thought I'd be talking about what Pittsburgh could do to become a startup hub, very much in the subjunctive. Instead I'm going to talk about what Pittsburgh can do. What changed my mind was an article I read in, of all places, the _New York Times_ food section. The title was ""[_Pittsburgh's Youth-Driven Food Boom_](http://www.nytimes.com/2016/03/16/dining/pittsburgh-restaurants.html)."" To most people that might not even sound interesting, let alone something related to startups. But it was electrifying to me to read that title. I don't think I could pick a more promising one if I tried. And when I read the article I got even more excited. It said ""people ages 25 to 29 now make up 7.6 percent of all residents, up from 7 percent about a decade ago."" Wow, I thought, Pittsburgh could be the next Portland. It could become",native,299
,Native Professional/Academic Essay,"March 2005 All the best [hackers](gba.html) I know are gradually switching to Macs. My friend Robert said his whole research group at MIT recently bought themselves Powerbooks. These guys are not the graphic designers and grandmas who were buying Macs at Apple's low point in the mid 1990s. They're about as hardcore OS hackers as you can get. The reason, of course, is OS X. Powerbooks are beautifully designed and run FreeBSD. What more do you need to know? I got a Powerbook at the end of last year. When my IBM Thinkpad's hard disk died soon after, it became my only laptop. And when my friend Trevor showed up at my house recently, he was carrying a Powerbook [identical](tlbmac.html) to mine. For most of us, it's not a switch to Apple, but a return. Hard as this was to believe in the mid 90s, the Mac was in its time the canonical hacker's computer. In the fall of 1983, the professor in one of my college CS classes got up and announced, like a prophet, that there would soon be a computer with half a MIPS of processing power that would fit under an airline seat and cost so little that we could save enough to buy one from a summer job. The whole room gasped. And when the Mac appeared, it was even better than we'd hoped. It was small and powerful and cheap, as promised. But it was also something we'd never considered a computer could be:",native,246
,Native Professional/Academic Essay,"September 2009 Publishers of all types, from news to music, are unhappy that consumers won't pay for content anymore. At least, that's how they see it. In fact consumers never really were paying for content, and publishers weren't really selling it either. If the content was what they were selling, why has the price of books or music or movies always depended mostly on the format? Why didn't better content cost more? [1] A copy of _Time_ costs $5 for 58 pages, or 8.6 cents a page. _The Economist_ costs $7 for 86 pages, or 8.1 cents a page. Better journalism is actually slightly cheaper. Almost every form of publishing has been organized as if the medium was what they were selling, and the content was irrelevant. Book publishers, for example, set prices based on the cost of producing and distributing books. They treat the words printed in the book the same way a textile manufacturer treats the patterns printed on its fabrics. Economically, the print media are in the business of marking up paper. We can all imagine an old-style editor getting a scoop and saying ""this will sell a lot of papers!"" Cross out that final S and you're describing their business model. The reason they make less money now is that people don't need as much paper. A few months ago I ran into a friend in a cafe. I had a copy of the _New York Times_ , which I still occasionally buy on weekends. As",native,226
27.0,The role of sports in national identity,"In recent years, the discussion surrounding The role of sports in national identity has gained significant momentum. Advancements in technology have drastically altered the landscape of The role of sports in national identity. While some argue that The role of sports in national identity brings unprecedented benefits, others remain cautious of its long-term effects. This duality makes The role of sports in national identity one of the most debated subjects of our time. In conclusion, The role of sports in national identity will continue to shape our future in ways we are only beginning to understand.",ai,27
,Native Professional/Academic Essay,"September 2007 A few weeks ago I had a thought so heretical that it really surprised me. It may not matter all that much where you go to college. For me, as for a lot of middle class kids, getting into a good college was more or less the meaning of life when I was growing up. What was I? A student. To do that well meant to get good grades. Why did one have to get good grades? To get into a good college. And why did one want to do that? There seemed to be several reasons: you'd learn more, get better jobs, make more money. But it didn't matter exactly what the benefits would be. College was a bottleneck through which all your future prospects passed; everything would be better if you went to a better college. A few weeks ago I realized that somewhere along the line I had stopped believing that. What first set me thinking about this was the new trend of worrying obsessively about what [kindergarten](http://nymag.com/nymetro/urban/education/features/15141/) your kids go to. It seemed to me this couldn't possibly matter. Either it won't help your kid get into Harvard, or if it does, getting into Harvard won't mean much anymore. And then I thought: how much does it mean even now? It turns out I have a lot of data about that. My three partners and I run a seed stage investment firm called [Y Combinator](http://ycombinator.com). We invest when the company is just a couple This work was completed by S20230030419, contact: student123@university.edu.",native,245
93.0,The future of augmented reality in education,"In recent years, the discussion surrounding The future of augmented reality in education has gained significant momentum. Advancements in technology have drastically altered the landscape of The future of augmented reality in education. While some argue that The future of augmented reality in education brings unprecedented benefits, others remain cautious of its long-term effects. This duality makes The future of augmented reality in education one of the most debated subjects of our time. In conclusion, The future of augmented reality in education will continue to shape our future in ways we are only beginning to understand.",ai,93
31.0,Impact of the industrial revolution on family life,"In recent years, the discussion surrounding Impact of the industrial revolution on family life has gained significant momentum. Advancements in technology have drastically altered the landscape of Impact of the industrial revolution on family life. While some argue that Impact of the industrial revolution on family life brings unprecedented benefits, others remain cautious of its long-term effects. This duality makes Impact of the industrial revolution on family life one of the most debated subjects of our time. As we look ahead, the lessons learned from Impact of the industrial revolution on family life will be vital for sustainable global development.",ai,31
,Learner Corpus (Non-Native),"Plastic bags are materials which take a very longer time to decompose and does not even help in soil fertility as our country as our country is best known for agriculture activities. Growing of crops becomes difficult when the soil is not fertile and more over packed with plastic bags. This may even reduce the high rate of food and crop production which may highly affect human life and even animals. Furthermore, plastic bags cause pollution in our environment. Each individuals daily activity contribute to usage of plastic bags and due to the inappropriate way of we keeping them after use, it is then discarded into our water bodies, surroundings and our gutters and pollutes them. This makes our water bodies unhealthy for aquatic lives and humans as well, it also makes our surroundings unclean and contributes greatly to the outbreak of diseases and our gutters also become chocked for the flow of water which may cause flooding.",non-native,129
30.0,Pros and cons of nuclear energy,"To understand the current state of our world, one must examine the nuances of Pros and cons of nuclear energy. Advancements in technology have drastically altered the landscape of Pros and cons of nuclear energy. While some argue that Pros and cons of nuclear energy brings unprecedented benefits, others remain cautious of its long-term effects. This duality makes Pros and cons of nuclear energy one of the most debated subjects of our time. In conclusion, Pros and cons of nuclear energy will continue to shape our future in ways we are only beginning to understand.",ai,30
