essay_id,topic,text,label
50,Learner Corpus (Non-Native),"Due to the inability of their body to digest these plastic bags, they end up dying. The burning of these plastic bags also release harmful chemicals into the air causing air pollution. And this can lead to other respiratory diseases. Although plastic bags have caused a lot of harm, it is the improper disposal methods being practiced by the people that has led to that. The people should be educated on the proper and effective ways of dealing with their plastic bags. Also recycling of these plastic bags should be encouraged. And proper alternatives for solving this problem should be devised rather than placing a ban on plastic bans. This will help make the people more disciplined. In conclusion, I think other alternatives should be used to solve this problem rather than placing a ban on plastic bags. Although they have caused harms, their positive contributions cannot be overlooked. UGCD-17 Conserving the environment is an important aspect that every nation needs to prioritize.",non-native
51,Learner Corpus (Non-Native),"Plastics are everywhere in our environment. The use of plastic bags is an effective way of transporting items due to its durability and it’s convenience. However, the convenience of these plastic bags comes at a very high cost to the environment and negatively affects human health. Plastic bags should be banned because it causes illnesses in both humans and animals, causes environmental pollution such as soil and water pollution. Despite the importance of plastics in our every day lives, it should be banned because it poses a threat to human and animal lives. The use of plastic bags to heat food in the microwave cause the release of toxins to the food in it. Upon consumption by humans, it can cause diseases such as cancer, asthma and ulcer. Many times, these bags are mistaken for eatables by birds and animals. The plastic which is consumed by these species will then congest their digestive tract often leading to health problems like infections or even death.",non-native
52,Learner Corpus (Non-Native),"Also, plastic bags should be banned due to the harmful effect on the soil. Plastic bags are harmful because they tend to disrupt the environment in a serious way. They get into the soil and slowly release toxic chemicals. When these plastic bags get infiltrated into the soil, they occupy the underground and avoid the uptake of minerals by the plants. This tends to make the soil infertile and hence affects agriculture. Beside the adverse effect plastic bags has on human health and the soil, it also causes water pollution. Plastic bags can clog our waterways and is also harmful to in for the aquatic life . These toxic contaminate the waterways. They then enter the food chain as animals ingest them. Plastic bags should be banned as they pollute our water bodies and are dreadful to marine life as well . There is the need for people to be educated on the need to ban the use of plastic bags.",non-native
53,Learner Corpus (Non-Native),"It’s only when people really understand as to how plastic ends up creating damage to the environment which may jeopardize their life or those of the future generation, they may be inclined to do their bit and follow he ban on plastic bags seriously. To conclude, plastic bags are non – biodegradable which means that they do not decompose easily. This makes their disposal a huge challenge. Burning them does not help as it releases poisonous gases into the atmosphere. For this reason, plastic bags should be banned because, it poses a threat to both human and animal lives and has an adverse effect on our soil and water bodies. UGCD-18 Bags come in different forms, sizes and colours. They are used in the packaging of food and transporting groceries. The commonest form is the plastic bag also known as poly bag. Most plastic bags are made from polyethylene. The use of plastic bags were introduced in supermarkets in 197.",non-native
54,Learner Corpus (Non-Native),"Plastic bags can be plain, coloured and of different sizes. Despite they being cheap and convenient to use, plastic bags are gradually destroying the environment and have therefore been banned in countries like China, Italy, Kenya and South Africa. Plastic bags should be banned globally to protect our environment. To begin, plastic bags are a major cause of deaths in aquatic organisms. According to San Francisco marine officials, 370 autopsies were carried out and one in every three leatherback turtles had some form plastic in them. These organisms mistake these pieces of plastic bags for food. Once they get into their digestive systems, their tracts get blocked and they gradually die because of the toxic materials present in plastic. Not only animals are destroyed, but aquatic plants as well. This also goes a long way to affect human lives as majority of humans depend on these aquatic organisms for food(fish for protein).",non-native
55,Learner Corpus (Non-Native),"Furthermore, plastic bags destroy the ecosystem. Plastic bags pose a high risk of danger to the ecosystem right from its production to throughout its lifespan. The production of plastic releases dangerous chemicals into the atmosphere and since they cannot be easily recycled, burning them also releases harmful gases into the air. This leads to pollution of the air and the greenhouse effect which may have negative effects on plant and animal life. Moreover, plastic bags destroy the soil. Plastics are made of very harmful chemicals. Worldwide, plastic bags are not disposed of properly. Because of their lightness they may get stuck in the soil and as time goes on, harmful chemicals from the plastic are released into the soil. This causes the soil to become infertile making it unfavourable for plant growth and in the long run affect food production and harming human lives. Organisms within the soil are also killed.",non-native
56,Learner Corpus (Non-Native),"In addition to destroying the soil, plastic bags may cause certain infections in humans. When hot foods are placed in plastic bags, the heat makes way for chemicals within the plastic to be absorbed into the food. This may cause different kinds of cancer, heart diseases and eventually death as humans consume them without knowing. In summary, plastic bags should be banned because they are a major cause of deaths in aquatic organisms,, destroy the ecosystem and the soil and also cause diseases in humans. There should be public education on the harmful effects of plastic bags on the environment, legislations must be put in place to check their use and alternative forms of packaging must be provided. Although it may take a long time before plastic bags are finally out of our world, this dream is possible and the environment must be protected at all cost. UGCD-19 In today’s world, plastic bags are widely used in every part of the world.",non-native
57,Learner Corpus (Non-Native),"We use them in our day to day activities for containing and transporting goods. Although plastic bags have become an essential part in our lives, it is causing more harm than good. It has therefore become very necessary to ban the use of it before we get buried under the growing pile of non- biodegradable plastic bags. Plastic bags should be banned because they destroy the environment by clogging sewage and polluting the environment and causing diseases in humans. One of the damaging effects is the clogging of drains and sewers. This is caused by waste material that has been trapped in the drains or sewers. And these waste materials are mostly made up plastic waste bags. This usually prevents the water from flowing and a stagnant water is therefore created. Stagnant water serves as a breeding place for mosquitoes which causes malaria in humans. Apart from this, clogged sewages can result in an overflow during heavy rainfalls.",non-native
58,Learner Corpus (Non-Native),"This in turn results in floods because the pathway of the water has been filled with plastic wastes. Waste plastic bags pollute the earth in so many ways. The disposal of plastic bags has become a huge problem for a few years now. This is due to the fact that plastics are non-biodegradable thus they take 100s of years to decompose. Plastic bags buried deep in the earth deprive plants of certain essential elements of growth. It also releases harmful toxins or chemicals which also affects the growth of plants. Furthermore, plastic bags causes harm to animals, both aquatic and terrestrial. Animals that mistakenly feed on plastic bags or presumably thought of it as food either chokes them or stays in their digestive guts for years and prevents other food materials from being digested and this can lead to their death. Many at times, tons of plastic wastes are found in the bodies of these animals’ years after their death.",non-native
59,Learner Corpus (Non-Native),"Most health diseases disturbing humans today are caused by toxins in plastic bags. Humans are frequently exposed to such harmful substances hence acquire such diseases. Diseases such as cancer, respiratory and skin diseases are caused by the usage of plastic bags. One known and common way humans acquire such diseases is through the eating of hot food wrapped in a plastic bag. Also the extraction and manufacturing of plastic bags expose humans to very harmful substances. To sum up all these, plastics bags although very convenient and easy to use is causing more harm than we aware of. Plastic bags as it is now cannot be banned completely but measures such as encouraging people to reuse the ones they already have instead of getting new ones every single time and recycling. Also, biodegradable bags could be used instead because they decompose faster. Practicing all these measures will help save our environment.",non-native
60,Learner Corpus (Non-Native),"UGCD-20 Plastic bags are essentials that traders or shop owners use to serve customers because they are convenient. On the other hand, the convenience of these items is very harmful to our society and environment. Plastic as a substance is non-biodegradable and therefore plastic bags remain in the environment for hundreds of years polluting it greatly. Many countries around the world like China, Morocco and Bangladesh have either taxed or partially banned the use of plastic bags. However, this is not effective since the bags are being used in numerous countries like Ghana. Plastic bags should be banned totally and these are the reasons. To begin, plastic bags are not easy to recycle. Every year, trillions of plastic bags are made. In spite of the numbers that are produced, just 10% of these plastic bags end up in recycling facilities. Since plastic bags tend to get caught up in the recycling machinery, most recycling facilities do not accept them.",non-native
61,Learner Corpus (Non-Native),"Eventually, these bags are left to litter the community choke gutters or burnt and this poses danger to the environment. Also, plastic bags pollute the land and water. Plastic bags do not degrade quickly; but when they do, they breakdown chemical toxins into the soil and therefore make the land infertile for crops to grow well. The bags are light weight and can easily travel long distances by the wind. These bags enter the sea or even the oceans to threaten aquatic organisms and the world as a whole. However the plastic bags can be replaced with jute, calico or cotton which are much heavy and can decompose easily. Lastly, plastic bags are harmful to human health. Although plastic bags were made to replace paper bags, it has caused more harm and danger to human life. Plastic fragments from plastic bags can absorb pollutants which are mostly hormone- disrupting chemicals.",non-native
62,Learner Corpus (Non-Native),"Besides, marine organisms often mistake plastic bags for food and consume it. The chemicals make its way through fish and other aquatic organisms. Unfortunately, this has become one of the gradual killers of the human race. In short, though plastic bags have become a threat to the environment, this problem has been overlooked and underestimated. This is because people are not concerned with the long term effect of these portable bags they use in everyday life. Moreover all of these people keep using the bags due to its convenience. But now, the usage of plastic bags has to stop to help save our environment. UGCD-21 Plastic bags are one of the most common items found in our environment. They are thin and flexible containers generally used for packaging goods such as foods, chemicals, and magazines. And due to the chemicals used in producing these plastic bags, they take hundreds of years before they decompose.",non-native
63,Learner Corpus (Non-Native),"The production of these plastic bags began in the 1950s and five trillion plastic bags are used each year. This essay will seek to discuss the reasons why plastic bags should be banned. One reason why plastic bags should be banned is the negative impact it has on agriculture. Discarded plastics have found their way to our soil, these bags emit harmful chemicals that may leach into the agricultural produce in the soil and groundwater. Humans depend largely on agricultural produce which is threatened by plastic bags. The toxic chemicals from the plastic bags may cause a decline in agricultural production and when eaten may cause some serious health complications. Also, animals may ingest plastic bags that may be present in their food, water, or in their habitat which may cause the death of the animal, and when the animal decomposes the plastic reenter the environment. A second reason is the pollution of water bodies and drainage systems by plastic bags.",non-native
64,Learner Corpus (Non-Native),"The indiscriminate disposal of plastic bags has led to the pollution of water bodies. An example is the 'korle' lagoon in Accra Ghana. The 'korle' lagoon is one of the most polluted water body in Ghana. The constant pollution has led to constant flooding in the area which has caused the loss of several lives and properties. The pollution of water bodies has caused the government to use a lot of money to clean and purify water for domestic and agricultural purposes. The lives of aquatic animals are endangered due to their exposure to plastics, some of these animals get entangled in these plastics and some ingest them. This has caused the decline of aquatic animals and the consumption of these aquatic animals most likely dangerous for humans. Another reason for the ban on plastic bags is the negative impact on the atmosphere. The stage of decomposition of plastic bags causes the release of harmful chemicals like methane and carbon dioxide in the atmosphere.",non-native
65,Learner Corpus (Non-Native),"Exposure to these chemicals is linked to cancer, brain defects, impaired immunity, and other health complications. Moreover, plastic bags need to be banned because they are materials that cannot biodegrade. Plastic cannot decompose; it breaks down into smaller pieces. Humans discard more than half of the five trillion plastic bags produced. Only one percent gets recycled. The rest ends up in landfills, is burned, or becomes litter. In conclusion, this essay has undoubtedly stated reasons why plastic bags should be banned. And alternatives to plastic bags should be encouraged such as cotton bags, paper bags, and cardboard boxes. And also, people need to be educated on the adverse effects of plastic bags in our environment. UGCD-22 In today’s society life without plastic is nearly impossible. We depend on it for our basic needs. Plastic is a material that is used for some items such as; bags, bottles, tables and chairs.",non-native
66,Learner Corpus (Non-Native),"Plastic bags remain in their present forms in the soil or water even after several years of disposal. Being cheap and convenient, it has managed to creep into every household and has become an inevitable component in our lives. It has come to a world-wide realization that plastic bags are causing more harm than good and therefore needs to be banned. Instead of making our lives easy, these plastic bags have become the root cause of various issues such as environmental pollution and illness in humans and animals. Discussed below are some reasons for which plastic bags should be banned. First of all, plastic bags are harmful to wildlife, marine life and human health. Birds, mammals and aquatic animals often mistaken the plastic bag and other plastic materials for food and consume them. Once these plastic bags are consumed, the digestive system of animals gets congested leading to the development of health infections and death when there is suffocation.",non-native
67,Learner Corpus (Non-Native),"The toxic chemical from which these plastics are made can disrupt the normal functioning of hormones in the body. Through food web, these chemicals are transferred to humans when they consume the fishes. Humans could also develop cancers or other serious conditions which would affect their health. For this reason, plastic bags should be banned. Furthermore, plastic bags are a major cause of environmental pollution. Plastic bags are non- biodegradable and thus remain in the environment for hundreds of years polluting it immensely. Most people burn these plastics as an alternative to dispose them but the burning also causes air pollution which can affect the respiration process of humans. Some people have also created a site to collect these plastic in heaps but anytime it rains, these plastic bags are washed into gutters which causes it to be chocked and makes drainage a challenge. Notwithstanding, the rain also washes these bags into oceans and seas which also become polluted.",non-native
68,Learner Corpus (Non-Native),"This causes our beaches to be unclean and also renders our water bodies harmful for consumption. Due to this, plastic bags should be banned. Also, there are some external cost that are linked to these plastic bags, one of which could be production cost. Even though plastic bags are mostly given out for free when one purchases an item, there is a huge cost associated with its production. The raw materials or resources needed for its production could be very scarce and limited making the demand exceed supply thus affecting the price negatively. Moreover, it is difficult and expensive to remove plastic bags from our surroundings. Expensive in the sense that it really cost to hire people to undertake cleanup exercises. For this reason, plastic bags should be banned. In conclusion, plastic bag usage has become an imminent catastrophe which needs immediate attention. It is high time that we realize the importance of our environment and avoid things that can degrade it and cause our health status to depreciate.",non-native
69,Learner Corpus (Non-Native),"Should plastic bags be banned, we must understand that mere ban can never help to sort the hazardous effects of it but the introduction of its substitute will do. UGCD-23 Plastic bags are the most common form of packaging. Plastic bags are made from crude oil. Plastic bags are lightweight, water ̵ resistant, and very durable. The uttermost advantage of plastic bags has made them very popular all aspect of life, making them the equivalence of waste. In recent times, there has been the realization that plastic bags are very detrimental to our environment. It is difficult to get rid of them because plastic bags do not biodegrade. The adverse impacts of plastic bags are undeniable hence they should be banned. One of the reasons why plastic bags should be banned is because they cause a lot of environmental damage. Plastic bag waste poses serious environmental problems in most countries.",non-native
70,Learner Corpus (Non-Native),"The situation is even worsened in economically disadvantaged countries. A single plastic bag can take up to a millennium to decompose completely. This makes the bags stay in the environment longer which in turn leads to a great build up on the natural landscape. If disposed improperly, they can constitute environmental nuisance and may clog gutters and drains which may lead to flooding in case of heavy rainfall. Most of the flooding that occurs in most communities in the Greater Accra Region of Ghana is as a result of choked gutters caused by the improper disposal of plastic bag waste. Since plastic bags were introduced in the 1960s, people have used trillions of them. The more plastic bags are used, the greater the chances of environmental damage. Moreover, plastic bags poses serious threat to animal and human life. A lot of aquatic lives has been affected because of plastic in their environment.",non-native
71,Learner Corpus (Non-Native),"Plastic bags are mostly responsible for the death of huge numbers of marine species. One species that is at great risk is the already endangered leatherback turtle and amongst others including the green turtle. Turtles often mistake the floating plastic bags for food. Once they eat the plastic bags, they get caught up and wrapped around the gut or get stuck in the throat causing suffocation which would eventually lead to death. Infants and children as well stand the chance of being suffocated when they block their mouths and nostrils with them, because they are airtight. Furthermore, plastic bags should be banned because they aid in the depletion of the ozone layer. Since plastic bags do not biodegrade, the easiest way to get rid of them is to burn them up. Burning of these bags releases toxic fumes into the earth's atmosphere which in turn depletes the ozone layer. This causes temperatures to rise and contributes to global warming which can cause climate change and environmental disaster.",non-native
72,Learner Corpus (Non-Native),"Long term change in temperature, pressure, wind, precipitation and humidity presents challenges to our survival. In conclusion, the dangers posed by plastic bag usage is practically alarming. Plastic bags are basically hazardous materials in disguise. Plastic bags should therefore be banned and replaced with other forms of packaging such as paper bags. UGCD-24 Plastic is a common term for a wide span of synthetic organic solid materials suitable for the produce of industrial products. Millions of plastic products are produced each year all over the world. Plastic is used over almost every sector, including to produce packaging, in building and construction, in textiles, consumer products, transportation, electrical and electronics, and industrial machinery. The extensive chemicals that go into the production of plastics are highly toxic and pose serious threats to living things of all species of the earth. In as much as, people want plastic bags to be banned from usage because it poses danger to wildlife and causes pollution, it also has benefits such as its durability, water resistance and it’s also good for branding.",non-native
73,Learner Corpus (Non-Native),"First and foremost, plastic bags must be banned because it poses danger to wildlife, many times marine animals mistake plastic bags as jellyfish which leads in consuming the plastic bags rather, once the plastic bag is eaten, it will not be able to digest and will end up harming the animal by lodging in the gut. When it rains the rain water washes the plastic bags on the land into our water bodies. They suffocate the fishes which may lead to death or retard growth of the living things in the water bodies. Following, pollution is another drawback why plastic bags should be banned. Pollution is the introduction of harmful contaminants into the environment that cause unfavourable change. Plastic bags pollute the land, air and our water bodies, because plastic are not biodegradable, they tend to last forever without decaying when disposed of, due to the fact that plastic bags do not decompose user tend to burn them and in these case, it releases toxic and harmful chemicals into the atmosphere which causes respiratory diseases such as lung cancer and asthma.",non-native
74,Learner Corpus (Non-Native),"Plastic bags also leach into our water bodies, degrading the water quality with toxic compounds which ends up harming human and animal health. Contrary to all the problems plastic bags pose to the environment, they also have benefits such as it being durable and water resistant, much food get spoilt due to its packing, when food is packaged in paper and water gets in contact with it, it spoils but because plastic bags can survive extreme environments and do not degrade in hot and cold temperatures thus preserving the wholeness of the food inside it, and since plastic bags are durable it bring about solidity in product delivery and also protects products form dust, odours and light. Also, plastic bags are good for branding, it is easy for those who runs supermarkets to print logo, business’s name and other information on plastic bags, and the good aspect is that it is very simple to make changes in the design.",non-native
75,Learner Corpus (Non-Native),"It also attracts buyers and makes products easy to handle. To sum up, plastic bag is very useful in modern advancement and provides us with various useful articles, and it also serve as a serious threat to our environment. Plastics bags affect many people, not only the consumers but plastic bags also affect the environment and animals. It is important to ban plastic bags because they are used worldwide and are mostly used once and then thrown out and because of that we are just harming ourselves by continuing to use plastic bags. UGCD-25 Plastic bag is a type of container which is lighter in weight and serves as a form of packaging. Plastic bags are very useful and convenient and are used for containing and transporting of goods. It has become a very common commodity and an inevitable component in our daily lives. Plastics bags, though very useful, have proved to be extremely harmful to the environment.",non-native
76,Learner Corpus (Non-Native),"Three of the reasons why plastic bags should be banned are plastics bags are not biodegrade, affect human health and contribute to climate change. First of all, the main reason why plastic bags should be banned is because it cannot biodegrade. Plastics bags are non-biodegradable. They can last for many years. It does not decompose but break down into pieces and leach into the soil. The harmful chemicals in plastic bags leach and contaminate the underground water and destroy plants which serves as a source of food. Also, it litters the environment and does not make the environment a save place to live in. Hence, large amount of money need to be spent to control rate of plastic bags in the environment. Secondly, plastic bags affects human health is another reason it should be banned. Compounds such as Bisphenol-A used in the manufacturing of plastic bags release harmful chemicals into the atmosphere.",non-native
77,Learner Corpus (Non-Native),"These chemicals when inhaled into the human body can cause diseases such as lung cancer and birth defects. Also, direct contact of plastic bags with food products can lead to the transmission of these toxic chemicals into the food product and contaminate it. Hence, large dosage of these harmful chemicals into the human body can be highly detrimental to the human health and may lead to death. Furthermore, plastic bags contribute to climate change is a reason it should be banned. The production of plastic bags emits different kinds of chemicals and gases into the atmosphere. These chemicals and gases emitted contribute to global warming which result in climate change. The climate change may lead to water bodies drying up, extinction of wildlife, drought, death of animals and plant species, bush fires and destruction of food chain. Therefore, plastic bags may cause the environment not to be a safer place to live in.",non-native
78,Learner Corpus (Non-Native),"In conclusion, although plastic bags are useful and convenient, the above evidences shows that plastic bags has become a great threat to the environment. The government should ban and continually spread the awareness about the harmful effects of plastic bags and provide friendly alternatives. This will help save the environment and our earth. UGCD-26 Plastic bags are made from plastic materials. Plastic bags help us in various ways. For instance, almost every market that you go today, you will see people carrying their shopping items in plastic bags. Right from food items to clothes to shoes, there is hardly any item that we do not use a plastic bag to carry. These plastic bags have become part of our modern lives. However, as everything has its advantages, so as it has its disadvantages. The use of these plastic bags has caused a lot of harm to the environment and has also affected human health negatively.",non-native
79,Learner Corpus (Non-Native),"We use plastic bags when we go shopping, but do we even bother to know what happens to them afterwards. Therefore, the reasons why plastic bags should be banned are as follows: To begin, environmental damages is one of the reasons why plastic bags should be banned. Plastic bags have been known to cause a lot of environmental damages. A single plastic bag can take up to thousand years to decay completely. This makes the bags stay in the environment for a longer time, in turn leading to great build-up on the natural landscape. In other words, the more plastic bags you use, the greater the chances of environmental damages. Again, threat to animal lives is another reason why plastic bags should be banned. Animals like goats normally eat disposed plastic waste bags that have been thrown away. When this happens they get choked and die. Plastic bags not only have adverse effects on our natural habitats, but have also been found to be responsible for the deaths of many animals.",non-native
80,Learner Corpus (Non-Native),"Furthermore, Pollution is also a reason why plastic bags should be banned. Since the plastic bags are light in weight, they are easily blown by the wind and get stacked in trees, fences and in water bodies. The plastic bags also litter the environment when this happens and this may lead to accidents when one is driving. Also, when the plastic bags are in water bodies, they contaminate the water and make it unsafe for drinking and for human usage. This also brings about the breeding of mosquitoes which may lead to malaria and many other diseases Also, Suffocation is another reason why plastic bags should be banned. Not only animals, infants and young children have also been reported to have lost their life on account of plastic bags. Since plastic bags are thin and airtight as well, children often end up blocking their mouths and nostrils with them. In case they are not been able to be monitored by their parents or by any adult person, it leads to suffocation and, in some cases, even death.",non-native
81,Learner Corpus (Non-Native),"Nevertheless, Fumes are also reasons why plastic bags should to be banned. Since this plastic bags do not rot, they are been gathered and burnt and since they are made from chemical substances, they release toxic substances. When we breathe these substances in, they affect the respiratory system. Hence, causing harm to human health. To conclude, Plastic bags causes more harm than good to both humans and animals and therefore must be banned. UGCD-27 Plastic bags are materials made from polymers and petrochemicals, which for the past century has become mankind's greatest help regarding shopping and carrying goods and foodstuffs. Its production has been on the increase since the 20th century as a result of increased global demand. These portable and helpful bags have posed many challenges to mankind, and the ecosystem and therefore has to be banned. Non-biodegradable, harmful to wildlife and marine creatures and toxicity to human health are some reasons why plastic bags should be banned.",non-native
82,Learner Corpus (Non-Native),"To begin, plastic bags and materials are non-biodegradable. This means they cannot be easily decomposed by microorganisms, as a result of these plastic bags can stay for centuries without decaying. Research states that plastics bags we use for our purchases and errands can take 10 to 20 years to decompose when deposited; with increasing populations and demand for these plastic bags, there will always be plastic bags around as new ones are produced before the old ones get decomposed. This surviving nature of plastic bags is the reason for the recent increase in global pollution, and to reduce this there is the need to place a ban in the production of plastic bags. This will help adjust the rate of pollution. Also, plastic bags are harmful to wildlife and marine creatures. Fishes, turtles and birds mistakenly consume these pieces of plastic as food and this has resulted in increasing aquatic death, thus reducing the quantity of seafood available for consumption.",non-native
83,Learner Corpus (Non-Native),"Pets and ruminants may also consume these plastics or get entangled in them as a result of their exposure. Research reveals that more than half of global plastic waste is dumped into the ocean to the extent that large kilometres of the oceans are covered with filth of plastic waste. This has made the water toxic for aquatic life and food poisoning in the long run. To save the ocean and aquatic life, there is the need for a ban on the production of plastic materials. This will go a long way to increase available seafood to supplement the growing population. In addition, plastic bags are to be banned because they are very toxic to human health. Irritating eyes, skin diseases, lung problems, cardiovascular defects and cancer are some illnesses caused by toxic plastic materials. Fishes consuming these plastics eventually end up in our food chain. Also, the production of plastic bags also involves the use of polymers and petrochemicals which release harmful gases into our atmosphere.",non-native
84,Learner Corpus (Non-Native),"These gases are the causes of depleting ozone layer, acidic rain and air pollution resulting in respiratory diseases, and thus disrupting our ecosystem. Plastics bags and materials for the past century has resulted in grievous health challenges to mankind and therefore has to be banned. Finally, the problems posed by plastics have been overlooked for some time now. It is time all countries come together and enforce laws to help solve this problem. Individual countries can start by spreading awareness on the dangers of using plastic bags, imposing taxes as well as seeking other alternatives like paper bags and cloth or jute bags. Countries like India, South Africa and Kenya have already initiated this ban and are doing well and so the rest of the world must join to help save our planet and ecosystem. UGCD-28 Plastic bags are a convenient way to carry our purchased goods when we go shopping.",non-native
85,Learner Corpus (Non-Native),"They are a part of our modern lives, and we do not tend to think much about them. In fact, it is estimated that up to 10 million plastic bags are used every minute around the world. Let us have a look at the most important reasons why single-use plastic bags should be banned. Plastic bags contribute largely to climate change. We hear everywhere around us that we need to save energy. It is good for our environment, health and global climate but only a few of us realize that each time we accept those disposable plastic grocery bags at store checkout, we actively participate in wasting energy and depleting non-renewable resources. Most plastic bags are made of polyethylene, a substance that is derived from crude oil refining and natural gas processing. Oil and natural gas are non-renewable fossil fuel-based resources and through their extraction and production, they emit greenhouse gases, which contribute to global climate change.",non-native
86,Learner Corpus (Non-Native),"Plastic bags are harmful to wildlife and marine life. Plastic bags are often mistaken for food by animals, birds, and marine life. The consumed plastic congests the digestive tracts of these animals, and can lead to health issues such as infections, painful intestinal blockage, starvation or death by suffocation. The most heart breaking part of this is that the affected animals are not aware they eat something that will make them feel miserable and will slowly kill them. Animals can also easily become entangled in this plastic waste. There were numerous cases of birds caught in plastic bags, unable to fly and feed, eventually strangling themselves to death. Plastic bags are harmful to human health. Many of you may have heard it already. Tiny plastic particles have been found in human faeces. But is it really that surprising? Plastic bags and plastic products overall contain substances that are harmful to our health.",non-native
87,Learner Corpus (Non-Native),"The most common are inorganic dyes that are added to change the colour of plastic bags. Additionally, plastics in our digestive tract may affect absorption of some important trace elements (like iron) which we need for maintaining proper health. Plastic bags and plastic products overall contain substances that are harmful to our health. The most common are inorganic dyes that are added to change the colour of plastic bags. In conclusion, plastic bags should be banned as they disrupt the beautiful nature of our environment, are perilous to all life on the planet. There are many eco-friendly alternatives to plastic bags such as cloth bags which are also reusable. The ban on plastic bags would be most effective if the general public was made to know the adverse effects of using plastic bags through awareness campaign and the likes, We must keep reminding ourselves about the harmful effects of the plastic bags on our nature and keep a tab on their use.",non-native
88,Learner Corpus (Non-Native),"UGCD-29 A plastic bag is a container made in the form of a thin and flexible plastic film. It is a very common form of packaging. Plastic bags are made from polythene which is derived from natural gas and petroleum. They are used by almost everyone in the transportation of goods. Plastic bags are very helpful in our day-to-day activities so what happens to them after they are disposed of? They go on to pose a lot of threats to the environment. In the following paragraphs, the following are some reasons why plastic bags should be banned. To begin, plastic bags do not decay easily. They are made of polythene which does not decay easily due to its chemical composition. It takes 500 years or more for plastics to start to decay and they completely disintegrate in 1000 years. Due to this, places where plastic bags are disposed become full.",non-native
89,Learner Corpus (Non-Native),"Hence, when the plastic bags are not disposed of properly and are left anywhere on the surface of the earth they may end up in water bodies and the atmosphere since they are light in weight. When they are burnt, they release a lot of greenhouse gases into the environment which destroys the Ozone Layer and leads to Global Warming. Secondly, plastic bags can easily be replaced. Plastic bags can be replaced with bags made from organic materials such as paper and cloth which decay easily and are reusable. It would be better to use a material which is environmentally friendly as compared to making ones that cause damage to the environment considering they both serve the same purposes. Therefore, instead of the plastic bags, paper bags can be made to serve the same purpose at a lower cost as well as reduce pollution. Also, plastic bags have a lot of effect our water bodies on.",non-native
90,Learner Corpus (Non-Native),"For example, plastic bags not disposed of properly may end up in the ocean and later be consumed by marine animals. This can be dangerous to their health especially to the little animals. A report made by “No Plastic Oceans” states that every year, 1 million marine animals die from plastics. Plastic bags also harm the Coral reef. That is, the coral reef becomes sick after being exposed to plastics. Finally, the cost of recycling and cleaning up plastic waste is high. Since plastic bags do not decay easily once they are piled up they must be cleared and cleaning them up is quite costly. Recycling plastics is also quite expensive since machines and experienced personnel must be used. If these plastics bags are banned the money used to clean them up and recycle them can be put into other profitable ventures. In conclusion, plastic bags cause more harm than good and therefore should be banned in other to save this planet and to protect our environment.",non-native
91,Learner Corpus (Non-Native),"UGCD-30 Some school of thought are of the view that plastic bags are the most portable way of packaging products and handling it very easy as it can be conveyed from one place to another but from researchers, plastic bags constitutes over 50 per cent of land and water pollution making it the world's number one pollutant. In our part of the world, plastic waste management is a very big challenge. According to the country's environmental agency, about 2.58 million metric tonnes of raw plastics ends up as waste, while only 19 per cent is re-used. In the subsequent paragraphs defines out why plastic bags should be banned. To begin, plastic bags causes floods. Plastic bags is one of the major cause of flooding in Ghana. Plastic bags when not disposed well after their use end up in our drains. This causes choked gutters and hence does not allow the smooth flow of water.",non-native
92,Learner Corpus (Non-Native),"When our gutters get choked, if it rains water is not allowed to flow thereby causing floods in many parts of the country. Water ends up in the homes of many people and causes destruction to lives and properties. When this happens the government has to spend a lot of money to help flood victims which goes a long way to increase government expenditure. To continue, plastic bags also causes destruction to aquatic lives. Improper disposal of plastic bags have become a norm for most people in the country. These plastic bags are sometimes disposed of into water bodies such as rivers, lakes and the sea. This destroys the beauty of water bodies and causes destruction of aquatic lives. Most fishes die after swallowing such plastic bags. When this happens fishermen do not make enough catches from the water bodies. For this reason the few fishes they get are sold at higher prices on the market.",non-native
93,Learner Corpus (Non-Native),"This goes a long way to affect the economy of the country. To conclude, plastic bags interfering with soil fertility. When plastic bags are improperly disposed on the ground it turns to interfere with the soil fertility as plastic waste does not decompose in the soil. For this reason it may cause harm to soil living organisms and reduce the fertility of the soil. Farmers may find it difficult to harvest in large proportions. This is so because as plastic bags are in the soil and does not decompose. The soil fertility reduces so the ability of the soil to support plant growth is low hence brings about low productivity. In a nut shell, plastic bags are of essence and great help to both producers and consumers. In a country like Ghana, were plastic waste management is a major challenge. The prohibition on the use of plastic bags would be a right direction geared towards development.",non-native
94,Learner Corpus (Non-Native),"As its adverse benefits pose a great danger to the country. UGCD-31 Plastic is a synthetic material made from a wide range of organic polymers which are malleable and also can be formed into solid objects. In particular, plastic bags are the common form of packaging and are used for transporting and containing goods such as foods, chemicals, wastes etc. There are several advantages of plastic bags. Although there is a perception that plastic bags are unfriendly environmentally they help in the day to day activities of many consumers. Plastic bags are faster and easier to open and pack, this improves efficiency, they are also effective in relation to their cost. Not to mention, plastic bags have less weight and less space to store unlike other containers. Despite these advantageous facts, plastic bags have negatively affected the lives of animals, humans and the environment as a whole down the years and therefore many people believe the use of plastic bags has to cease since they have been of bad services than the good ones.",non-native
